,longitude,latitude,price
2493382,2.180656,41.393325,78.0
10474649,2.152691,41.378583,25.0
8535939,2.157804,41.399344,22.0
3369421,2.179132,41.391916,60.0
5535660,2.177506,41.387026,34.0
1899532,2.175944,41.410262,81.0
605707,2.150919,41.38257,35.0
6897695,2.159265,41.412976,35.0
6988740,2.151293,41.385823,25.0
6406071,2.135121,41.376769,25.0
11363678,2.150741,41.394309,119.0
3297639,2.14416,41.393604,63.0
7028435,2.151187,41.391019,120.0
6031967,2.169878,41.37458,20.0
11152936,2.161537,41.395371,150.0
1106987,2.195718,41.390011,26.0
1662954,2.165216,41.37195,41.0
2900507,2.162087,41.400904,90.0
4928883,2.126924,41.380969,64.0
11283297,2.168582,41.406728,47.0
10080584,2.180588,41.398367,100.0
6638444,2.187706,41.429642,30.0
12242364,2.215989,41.414984,90.0
5854774,2.216687,41.412338,100.0
4490048,2.135017,41.375929,25.0
8463847,2.176956,41.409034,22.0
9761421,2.17802,41.387293,43.0
5453376,2.179561,41.384516,75.0
4377798,2.176186,41.398875,69.0
5236926,2.124431,41.410181,500.0
9250115,2.186353,41.392568,39.0
8998383,2.171376,41.394014,168.0
8766257,2.151541,41.396325,140.0
7540670,2.180124,41.38648,96.0
3349421,2.165294,41.385436,72.0
7757714,2.181615,41.396738,25.0
12109957,2.150288,41.378442,29.0
7821974,2.141197,41.372451,90.0
7658873,2.194912,41.396759,59.0
910361,2.154799,41.379165,29.0
9931126,2.179999,41.380971,45.0
12190509,2.188678,41.376627,80.0
1205425,2.155874,41.404011,115.0
9310599,2.163032,41.389268,140.0
11923701,2.169965,41.402112,48.0
2782323,2.16587,41.378193,68.0
8735605,2.198834,41.387991,150.0
7505112,2.152067,41.398865,110.0
7058457,2.119071,41.392644,587.0
2377178,2.16371,41.393616,450.0
8567422,2.170112,41.380731,60.0
1790446,2.200951,41.396564,85.0
1144116,2.177961,41.407179,20.0
2245595,2.166686,41.424645,20.0
6772651,2.166901,41.381978,30.0
7686471,2.180615,41.381833,85.0
6681052,2.155666,41.377662,131.0
3879178,2.124648,41.411175,30.0
109462,2.167253,41.402704,105.0
7296618,2.157315,41.392324,65.0
11891658,2.17251,41.387506,47.0
11204869,2.178207,41.382641,49.0
1621190,2.183067,41.407236,25.0
759492,2.167556,41.395603,65.0
417814,2.175207,41.407811,26.0
5277471,2.1713,41.404095,98.0
194460,2.216935,41.414071,18.0
12053672,2.163566,41.380209,40.0
6820923,2.130038,41.372085,35.0
1011439,2.196289,41.390246,59.0
1011437,2.165087,41.364066,29.0
4382379,2.160841,41.378686,100.0
9226891,2.16498,41.383713,70.0
2781640,2.162841,41.401283,108.0
1487939,2.176532,41.434682,18.0
3825239,2.156667,41.388156,88.0
954916,2.177968,41.415979,21.0
6727810,2.168309,41.374007,115.0
2480461,2.176543,41.382055,99.0
5727291,2.130049,41.386653,200.0
5599785,2.178811,41.396929,33.0
7927061,2.216899,41.416569,48.0
1186506,2.160611,41.376836,115.0
2082561,2.197407,41.406343,79.0
3373881,2.17077,41.411464,100.0
7359335,2.175928,41.379051,29.0
1750115,2.136097,41.365094,40.0
11812696,2.167747,41.378593,70.0
1382190,2.144398,41.391847,59.0
728480,2.151436,41.388688,350.0
7592578,2.163348,41.390321,100.0
6894673,2.16332,41.393936,300.0
3464989,2.176645,41.382499,45.0
1884657,2.129355,41.394192,100.0
12226183,2.145598,41.408572,30.0
5468510,2.178328,41.401035,66.0
3333021,2.162975,41.397663,31.0
10296348,2.178643,41.385844,69.0
1450190,2.153466,41.376483,60.0
8922402,2.152413,41.40012,1244.0
1115149,2.158322,41.371782,99.0
10988005,2.170527,41.40012,47.0
11095131,2.170021,41.373933,50.0
6884265,2.166012,41.401923,11.0
5689004,2.183268,41.42206,81.0
9485692,2.184067,41.407856,200.0
3736549,2.123551,41.390602,70.0
7892387,2.180296,41.39705,26.0
10208599,2.171273,41.374215,110.0
9984080,2.215192,41.405868,138.0
3217244,2.15717,41.39127,65.0
3217245,2.20259,41.404288,84.0
9105790,2.173809,41.405728,77.0
1500932,2.205659,41.40851,81.0
2474212,2.16531,41.386366,45.0
4149910,2.165847,41.40557,25.0
2256064,2.172093,41.384366,130.0
8435493,2.197193,41.398965,79.0
1030383,2.164386,41.375066,70.0
11608181,2.160045,41.373426,70.0
896337,2.187214,41.381698,35.0
2650947,2.15972,41.41338,65.0
8380467,2.181284,41.387158,120.0
10978733,2.159005,41.370622,139.0
9722429,2.166878,41.381582,48.0
9724952,2.112694,41.378247,110.0
7982376,2.199635,41.403178,130.0
8099448,2.170947,41.439648,20.0
1339992,2.209655,41.406934,26.0
12077969,2.160376,41.373449,20.0
5711616,2.152483,41.392586,50.0
11988711,2.169421,41.417904,80.0
3350180,2.166158,41.375177,60.0
7795881,2.182134,41.403897,50.0
11718788,2.200112,41.402448,21.0
7543594,2.177307,41.388543,128.0
843327,2.155115,41.405439,103.0
1644414,2.164436,41.385184,60.0
441463,2.146452,41.401447,34.0
6755141,2.160324,41.370256,80.0
7442479,2.181319,41.397285,30.0
3003812,2.165409,41.382379,35.0
10039781,2.169177,41.394435,199.0
10148047,2.173719,41.408131,50.0
7327183,2.170467,41.409726,36.0
3172525,2.170192,41.392501,152.0
6508195,2.177612,41.399134,38.0
1015197,2.135528,41.380961,85.0
7763093,2.176657,41.411671,38.0
11915448,2.170066,41.398128,45.0
8962858,2.171682,41.403611,20.0
10623888,2.16902,41.407212,166.0
4207829,2.173975,41.378174,99.0
3142425,2.157949,41.373638,33.0
11998123,2.192245,41.396061,98.0
7882167,2.188305,41.379803,32.0
6342117,2.158264,41.378574,80.0
8291295,2.181683,41.384808,25.0
8522602,2.173398,41.381996,349.0
1339196,2.152515,41.382438,115.0
2431619,2.1653,41.407628,80.0
7415562,2.145334,41.408497,55.0
11298038,2.155586,41.432187,110.0
3507552,2.177193,41.381279,31.0
8918470,2.205188,41.399224,75.0
7197528,2.164592,41.373934,35.0
7662796,2.204959,41.418113,50.0
9913061,2.164772,41.380917,17.0
3203592,2.18118,41.407351,56.0
9956983,2.169438,41.382596,46.0
6776545,2.173299,41.38231,110.0
3190104,2.156364,41.375287,65.0
5527050,2.142398,41.397419,400.0
3774392,2.212784,41.416397,11.0
4699752,2.128841,41.383241,180.0
7575022,2.159035,41.394455,99.0
10353204,2.161723,41.376798,20.0
10914913,2.171593,41.380493,80.0
12000572,2.14804,41.40166,44.0
11274274,2.170811,41.389586,130.0
9942900,2.174608,41.37804,50.0
10243194,2.129287,41.396365,25.0
